time,roll,pitch,yaw,qw,qx,qy,qz,linear_accel_x,linear_accel_y,linear_accel_z,jerk_x,jerk_y,jerk_z,ekf_jerk_x,ekf_jerk_y,ekf_jerk_z
[0:00:02.600000],10.6924,-2.00934,-3.99518e-05,0.99562,0.0931478,-0.0174555,0.00163275,0.0943932,-0.024595,0.0116774,0.0630719,-0.0316155,0.00069867,0.0499486,-0.0150895,-5.44137e-05
[0:00:02.700000],10.7474,-1.61878,-4.54416e-05,0.995629,0.093631,-0.0140623,0.00132205,0.0868631,-0.0147755,0.00895804,0.101829,-0.0288686,0.00161705,0.0567905,-0.0169067,0.000166016
[0:00:02.800000],10.8637,-1.11586,-4.74601e-05,0.995586,0.0946456,-0.00969268,0.000921021,0.104549,-0.0266336,0.0221936,0.119378,-0.0361292,0.0252268,0.0650429,-0.0194412,0.00347035
[0:00:02.900000],11.1166,-0.558954,-5.84629e-05,0.99541,0.0968455,-0.0048543,0.000471773,0.11323,-0.0216548,0.0134346,0.131761,-0.0448106,0.0259036,0.0738385,-0.0227857,0.00642781
[0:00:03],11.3255,-0.117289,0.248675,0.995241,0.0986631,-0.000804366,0.00226021,0.142301,-0.0263394,0.027222,0.135397,-0.0439251,0.0138808,0.081953,-0.0255723,0.00741026
[0:00:03.100000],11.5753,0.289545,0.432982,0.995017,0.100819,0.00289445,0.00350404,0.155322,-0.0446483,0.0223607,0.120495,-0.0541382,-0.00174906,0.0870332,-0.0293375,0.00620299
[0:00:03.200000],11.6653,0.793837,0.730855,0.994907,0.101562,0.00753854,0.00564022,0.142334,-0.0536768,0.0245895,0.0944405,-0.0347571,-0.00753096,0.0880095,-0.0300518,0.00439286
[0:00:03.300000],11.9434,1.20729,1.11537,0.994606,0.103912,0.0114887,0.00858314,0.179273,-0.0341102,0.0143526,0.121615,-0.0576001,-0.00439458,0.0924385,-0.0336825,0.00323473
[0:00:03.400000],12.2049,1.54861,1.46939,0.994303,0.106104,0.014797,0.0113112,0.16765,-0.0440967,0.0180106,0.13867,-0.0665648,-0.00664381,0.0985313,-0.038016,0.00193285
[0:00:03.500000],12.5998,2.36696,1.78062,0.993789,0.109364,0.0222285,0.0131739,0.193948,-0.0659168,0.0254568,0.166326,-0.063889,0.00469226,0.107466,-0.0414257,0.0022965
[0:00:03.600000],12.8431,3.12559,2.02089,0.99338,0.111293,0.0290649,0.0144668,0.21523,-0.0606366,0.0223715,0.197005,-0.0745321,0.0171671,0.119265,-0.0457885,0.00425619
[0:00:03.700000],13.1524,3.9297,2.38867,0.992828,0.113709,0.0364341,0.0167674,0.242544,-0.0863221,0.0200291,0.170961,-0.0733608,0.0331797,0.126078,-0.049422,0.00806775
[0:00:03.800000],13.5012,4.7273,2.64724,0.992195,0.116457,0.043652,0.0180722,0.241654,-0.0781939,0.0262957,0.184333,-0.0576482,0.0340829,0.133755,-0.0505061,0.011496
[0:00:03.900000],13.872,5.49746,3.04346,0.991469,0.119301,0.0507846,0.0205412,0.264014,-0.0752004,0.0270302,0.154772,-0.083217,0.0377031,0.136524,-0.0548167,0.0149495
[0:00:04],14.2594,6.35079,3.42902,0.990632,0.122211,0.0586396,0.0227694,0.292561,-0.0939853,0.0405922,0.146196,-0.09629,0.0296351,0.137799,-0.0602819,0.0168847
[0:00:04.100000],14.6674,7.11627,3.73559,0.989766,0.125314,0.0656645,0.0243458,0.286786,-0.106423,0.0396022,0.148872,-0.0822458,0.0299435,0.139258,-0.0631762,0.0186056
[0:00:04.200000],15.1737,7.85024,4.11104,0.988735,0.129186,0.0725245,0.0264377,0.319385,-0.120014,0.0389524,0.174956,-0.076476,0.0341045,0.143962,-0.0649288,0.020648
[0:00:04.300000],15.6011,8.64864,4.45445,0.987704,0.132318,0.0798967,0.0281663,0.327133,-0.126357,0.0389316,0.165517,-0.0623519,0.0388263,0.146803,-0.0645892,0.0230434
[0:00:04.400000],16.0015,9.39762,4.79094,0.986679,0.135192,0.0868358,0.0298581,0.341691,-0.115107,0.0428443,0.196678,-0.0433261,0.0409033,0.153375,-0.0617873,0.0253969
[0:00:04.500000],16.5333,10.2483,5.19109,0.985353,0.139041,0.0947675,0.0318066,0.369809,-0.125984,0.0618122,0.211036,-0.0513118,0.0493814,0.160973,-0.0604069,0.0285575
[0:00:04.600000],16.9369,10.9894,5.5279,0.984215,0.141835,0.101654,0.0333912,0.39418,-0.135285,0.0596189,0.19387,-0.0857941,0.0492973,0.165308,-0.0637523,0.0312905
[0:00:04.700000],17.4727,11.8363,5.89304,0.982764,0.145624,0.109528,0.0348963,0.401588,-0.156177,0.058957,0.184211,-0.137436,0.0564081,0.167799,-0.073462,0.0346003
[0:00:04.800000],17.9755,12.5656,6.22315,0.981399,0.149172,0.116346,0.0362209,0.433865,-0.151749,0.0657775,0.159572,-0.147737,0.0711346,0.166715,-0.0832495,0.0394146
[0:00:04.900000],18.5266,13.3925,6.66766,0.979789,0.152894,0.12417,0.0382653,0.436088,-0.170928,0.0730706,0.158759,-0.106955,0.0692978,0.165667,-0.0863733,0.0433525
[0:00:05],19.1735,14.0851,7.18304,0.978083,0.15737,0.130993,0.0409233,0.456376,-0.195333,0.0863495,0.178124,-0.0950134,0.0882459,0.167308,-0.0875118,0.0492683
[0:00:05.100000],19.7009,14.9043,7.6819,0.976359,0.160674,0.138843,0.043304,0.467471,-0.203279,0.0976312,0.163023,-0.0994525,0.0789172,0.166743,-0.0890853,0.0531753
[0:00:05.200000],20.3149,15.6268,8.23038,0.974526,0.164646,0.145989,0.0460689,0.494468,-0.193425,0.101784,0.163103,-0.0885437,0.0747885,0.166264,-0.0890139,0.0560233
[0:00:05.300000],20.8442,16.434,8.75574,0.972671,0.167772,0.1538,0.0485256,0.514539,-0.201897,0.0968882,0.163416,-0.0884143,0.0663792,0.165889,-0.0889349,0.057388
[0:00:05.400000],21.408,17.1203,9.25116,0.970851,0.171256,0.160571,0.0508028,0.521614,-0.231046,0.118218,0.1326,-0.117467,0.0691134,0.161502,-0.0926947,0.0589331
[0:00:05.500000],22.0918,17.8457,9.76098,0.968743,0.175622,0.167758,0.0528829,0.521909,-0.23966,0.119678,0.10662,-0.128489,0.0698719,0.15427,-0.0974115,0.0603745
[0:00:05.600000],22.8009,18.5495,10.2545,0.966565,0.180164,0.174766,0.0547312,0.557076,-0.2371,0.131861,0.0887039,-0.117631,0.064716,0.14563,-0.100076,0.0609466
[0:00:05.700000],23.5084,19.1875,10.8582,0.964355,0.184508,0.181413,0.0575373,0.550462,-0.26828,0.130732,0.0980174,-0.0827705,0.0599902,0.139356,-0.0977955,0.0608206
[0:00:05.800000],24.1821,19.8579,11.3776,0.962143,0.188582,0.188197,0.0595375,0.562162,-0.26762,0.142266,0.117978,-0.075453,0.0515529,0.136539,-0.0948513,0.0595993
[0:00:05.900000],24.8188,20.4657,11.9154,0.960011,0.192309,0.194484,0.0617896,0.571632,-0.265952,0.140884,0.140447,-0.0947793,0.0591373,0.137054,-0.0948419,0.0595385
[0:00:06],25.505,21.1405,12.5426,0.957605,0.196134,0.201519,0.0644868,0.590758,-0.285113,0.150831,0.155791,-0.123708,0.078073,0.139523,-0.0986457,0.0619808
[0:00:06.100000],26.2586,21.8563,13.1343,0.954989,0.200434,0.208888,0.0665823,0.607022,-0.29443,0.163891,0.16662,-0.136722,0.0964193,0.143094,-0.103663,0.0665189
[0:00:06.200000],26.9723,22.4914,13.7652,0.952472,0.204342,0.215651,0.0691451,0.627906,-0.312148,0.168159,0.165878,-0.146605,0.118092,0.146096,-0.109322,0.0733149
[0:00:06.300000],27.7441,23.1124,14.2774,0.949889,0.208887,0.222136,0.070549,0.64455,-0.32723,0.177593,0.143731,-0.121961,0.121113,0.145784,-0.110987,0.0796135
[0:00:06.400000],28.6212,23.6696,14.8891,0.947088,0.214119,0.228363,0.0726158,0.649448,-0.348413,0.201911,0.122783,-0.120564,0.113049,0.142753,-0.112249,0.0840195
[0:00:06.500000],29.3662,24.2485,15.5223,0.944433,0.218095,0.234743,0.0749755,0.657094,-0.343758,0.203568,0.103523,-0.114081,0.100306,0.137584,-0.112491,0.0861657
[0:00:06.600000],30.1488,24.9006,16.187,0.941527,0.222102,0.241818,0.077242,0.689355,-0.349143,0.222201,0.107769,-0.10153,0.0953674,0.133655,-0.111046,0.0873783
[0:00:06.700000],31.0311,25.3638,16.8571,0.93865,0.227132,0.247468,0.0797037,0.677449,-0.37307,0.216746,0.128987,-0.100105,0.0833704,0.13304,-0.109605,0.0868501
[0:00:06.800000],31.9563,25.8975,17.6003,0.935472,0.232139,0.25389,0.0823895,0.699275,-0.395345,0.23517,0.133356,-0.132473,0.0932157,0.133081,-0.112618,0.0876889
[0:00:06.900000],32.8492,26.5019,18.3658,0.932178,0.236595,0.260927,0.0850258,0.70758,-0.384882,0.239512,0.1261,-0.127603,0.11165,0.132162,-0.114593,0.0908464
[0:00:07],33.7905,27.0286,19.0477,0.928905,0.241669,0.267233,0.0869629,0.732756,-0.403108,0.257313,0.123252,-0.121631,0.120192,0.130987,-0.11552,0.0947135
[0:00:07.100000],34.7649,27.4521,19.7374,0.925657,0.247096,0.272791,0.0890646,0.740243,-0.419192,0.266181,0.124276,-0.105017,0.13497,0.130103,-0.114136,0.100018
[0:00:07.200000],35.7327,27.9109,20.5081,0.922249,0.252111,0.278829,0.0916304,0.742512,-0.442021,0.28322,0.0742295,-0.108512,0.121353,0.12274,-0.113395,0.10283
[0:00:07.300000],36.7311,28.4271,21.3829,0.918544,0.256885,0.285604,0.0946719,0.756863,-0.427548,0.289685,0.0518219,-0.115127,0.126941,0.113395,-0.113623,0.106007
[0:00:07.400000],37.7679,28.9309,22.2472,0.914718,0.261893,0.292326,0.0974396,0.763418,-0.461255,0.307655,0.0666411,-0.0997676,0.115577,0.107234,-0.111797,0.107268
[0:00:07.500000],38.72,29.3113,23.0257,0.911286,0.266609,0.297864,0.100003,0.763724,-0.45363,0.317285,0.0787008,-0.125193,0.126053,0.103474,-0.113563,0.109744
[0:00:07.600000],39.7476,29.8258,23.7982,0.907433,0.271526,0.304507,0.101786,0.766651,-0.474694,0.327345,0.0681814,-0.153941,0.133654,0.0988235,-0.118883,0.112894
[0:00:07.700000],40.8471,30.317,24.5564,0.903402,0.276988,0.311024,0.10321,0.78347,-0.492277,0.34435,0.0717529,-0.148134,0.13333,0.0952563,-0.122738,0.115587
[0:00:07.800000],41.8111,30.7143,25.254,0.89984,0.281672,0.316585,0.104722,0.804825,-0.506699,0.354064,0.0970221,-0.120204,0.133555,0.095489,-0.122404,0.117955
[0:00:07.900000],42.9876,31.1392,26.0718,0.895555,0.287517,0.322868,0.106381,0.78775,-0.52532,0.375832,0.11285,-0.131723,0.14731,0.0977767,-0.123632,0.121823
[0:00:08],44.1442,31.5517,26.9941,0.891177,0.292819,0.329338,0.10882,0.802565,-0.528766,0.385176,0.116157,-0.118111,0.17323,0.100199,-0.122904,0.128597
[0:00:08.100000],45.2895,31.8613,27.7576,0.887063,0.298651,0.334671,0.110304,0.825777,-0.527747,0.394031,0.0788351,-0.12223,0.171885,0.0973836,-0.122816,0.134302
[0:00:08.200000],46.2768,32.1767,28.4696,0.883352,0.303303,0.339789,0.11173,0.834289,-0.557516,0.418682,0.0455251,-0.117204,0.130513,0.0905499,-0.122076,0.133802
[0:00:08.300000],47.4436,32.4923,29.2374,0.879064,0.30908,0.345259,0.112953,0.834306,-0.570311,0.433433,-0.00522516,-0.103764,0.0433975,0.0779292,-0.119663,0.121889
[0:00:08.400000],48.6017,32.7703,29.9829,0.874813,0.314867,0.35042,0.114067,0.827588,-0.577681,0.444662,-0.110735,-0.066042,-0.0354398,0.0530681,-0.112597,0.101157
[0:00:08.500000],47.3625,31.324,29.5593,0.88044,0.310864,0.337651,0.120126,0.801187,-0.577857,0.419266,-0.158704,-0.0252542,-0.132142,0.025162,-0.101088,0.0704143
[0:00:08.600000],46.3757,29.7619,29.2542,0.885293,0.308587,0.324458,0.126519,0.798459,-0.578492,0.396105,-0.206143,-0.0115695,-0.200966,-0.00531815,-0.0892914,0.0346533
[0:00:08.700000],45.3423,28.3137,28.9449,0.890036,0.305466,0.311868,0.132337,0.773309,-0.578688,0.377228,-0.213424,-0.0113206,-0.210803,-0.0327413,-0.0790168,0.00230845
[0:00:08.800000],44.4194,26.9882,28.723,0.894151,0.302482,0.300401,0.137862,0.744517,-0.573036,0.368287,-0.212245,0.0197634,-0.200413,-0.0563953,-0.0660001,-0.024405
[0:00:08.900000],43.5176,25.6714,28.6574,0.897911,0.29912,0.289311,0.144327,0.735088,-0.588327,0.338466,-0.191076,0.0147292,-0.187941,-0.0741428,-0.055362,-0.0459548
[0:00:09],42.5368,24.3769,28.6615,0.901652,0.294817,0.278339,0.151268,0.695818,-0.587166,0.325965,-0.197961,0.0281697,-0.181057,-0.0904588,-0.0443547,-0.0637578
[0:00:09.100000],41.5925,23.0106,28.5789,0.905355,0.291112,0.26652,0.157483,0.701082,-0.561931,0.310085,-0.187431,0.0428055,-0.162301,-0.103237,-0.0328692,-0.0767433
[0:00:09.200000],40.6723,21.8097,28.5355,0.908693,0.286995,0.255974,0.163206,0.672245,-0.558869,0.286128,-0.196523,0.0411735,-0.144762,-0.11553,-0.0231123,-0.0857064
[0:00:09.300000],39.8935,20.5693,28.4669,0.911641,0.284083,0.245164,0.168373,0.658957,-0.581601,0.272517,-0.208932,0.0280697,-0.121381,-0.127838,-0.0163678,-0.0904074
[0:00:09.400000],39.023,19.4002,28.4434,0.914599,0.280101,0.234788,0.173704,0.623119,-0.557673,0.273994,-0.181878,-0.00680514,-0.110472,-0.134959,-0.0151077,-0.0930514
[0:00:09.500000],38.2663,18.2155,28.5863,0.91693,0.27668,0.224777,0.180026,0.611542,-0.561162,0.258847,-0.183451,-0.0238291,-0.100159,-0.141349,-0.0162569,-0.093988
[0:00:09.600000],37.6244,17.1405,28.8173,0.918676,0.273721,0.21593,0.186366,0.595374,-0.56833,0.241507,-0.165612,0.021822,-0.0972562,-0.144546,-0.0112391,-0.0944186
[0:00:09.700000],36.8089,16.1886,28.9846,0.920781,0.269183,0.207534,0.192039,0.581839,-0.566515,0.235999,-0.14641,0.0344291,-0.0998009,-0.144792,-0.0052212,-0.0951279
[0:00:09.800000],36.1771,14.9855,29.2185,0.92235,0.266603,0.197555,0.198527,0.57614,-0.563956,0.228506,-0.135558,0.0222544,-0.110899,-0.143575,-0.00160062,-0.0972062
[0:00:09.900000],35.48,14.0441,29.4291,0.92391,0.262903,0.189397,0.204075,0.542778,-0.557729,0.212844,-0.178047,0.0674541,-0.112326,-0.148118,0.00749903,-0.0991986
[0:00:10],34.8277,13.0372,29.7538,0.925092,0.259543,0.180996,0.210546,0.528379,-0.536399,0.207076,-0.171515,0.0741789,-0.113764,-0.151201,0.0162857,-0.101118
[0:00:10.100000],34.1451,12.1399,30.0637,0.926245,0.255715,0.173305,0.216544,0.530184,-0.55084,0.194874,-0.178912,0.0569599,-0.117873,-0.154852,0.0216455,-0.103326
[0:00:10.200000],33.4918,11.2245,30.2842,0.927421,0.252313,0.165266,0.221725,0.495009,-0.540006,0.172669,-0.167877,0.0527994,-0.108804,-0.156569,0.0257508,-0.104048
[0:00:10.300000],32.9456,10.3799,30.6375,0.928014,0.249431,0.158237,0.227554,0.470884,-0.521965,0.169501,-0.146026,0.0486965,-0.102936,-0.155179,0.0287745,-0.103901
[0:00:10.400000],32.3377,9.5045,30.9799,0.928684,0.246165,0.150763,0.233376,0.47909,-0.531312,0.167017,-0.144686,0.0445193,-0.0837369,-0.153797,0.0308493,-0.101244
[0:00:10.500000],31.7256,8.61961,31.3922,0.929133,0.242825,0.143299,0.239706,0.446688,-0.52622,0.151792,-0.145578,0.0499308,-0.0512878,-0.152714,0.0333637,-0.0946612
[0:00:10.600000],31.2017,7.81059,31.7412,0.929448,0.240127,0.136441,0.245144,0.44437,-0.51229,0.145594,-0.130343,0.0497439,-0.0374332,-0.149766,0.0355222,-0.08712
[0:00:10.700000],30.6564,7.0205,32.215,0.929464,0.237094,0.129905,0.251501,0.429231,-0.513591,0.140987,-0.161913,0.0542645,-0.0440903,-0.151367,0.037992,-0.0814498
[0:00:10.800000],30.1937,6.26875,32.6647,0.92929,0.234705,0.123763,0.257412,0.410767,-0.511653,0.147886,-0.155092,0.0468951,-0.0511134,-0.151857,0.0391652,-0.0774522
[0:00:10.900000],29.7563,5.50568,33.0733,0.929085,0.232631,0.117467,0.262927,0.387998,-0.501546,0.140102,-0.122064,0.0224363,-0.0442506,-0.147931,0.0369607,-0.0730771
[0:00:11],29.3946,4.7398,33.5199,0.92857,0.231176,0.11137,0.268622,0.385365,-0.490684,0.128515,-0.105973,0.0260977,-0.0608354,-0.142402,0.0355293,-0.0714639
[0:00:11.100000],28.9837,4.0858,33.9931,0.92806,0.229054,0.106082,0.274281,0.367637,-0.506233,0.120967,-0.0988323,0.0151954,-0.0572469,-0.136661,0.0328498,-0.0695905
[0:00:11.200000],28.5829,3.52751,34.4764,0.927482,0.226798,0.101579,0.279759,0.373906,-0.503661,0.115149,-0.113926,0.00672331,-0.0583142,-0.133665,0.029407,-0.0681046
[0:00:11.300000],28.0874,2.87328,34.9175,0.927101,0.224096,0.0959558,0.285134,0.354143,-0.491785,0.122209,-0.116447,0.0296055,-0.0347182,-0.131396,0.0294331,-0.0637051
[0:00:11.400000],27.7344,2.233,35.5213,0.925978,0.222418,0.0910862,0.291623,0.344566,-0.487738,0.107291,-0.103597,0.0465227,-0.023811,-0.127733,0.0316851,-0.0584481
[0:00:11.500000],27.3719,1.67221,35.9752,0.925232,0.220616,0.0865168,0.296703,0.31568,-0.499498,0.11158,-0.0956034,0.0558675,-0.0221776,-0.123499,0.0348717,-0.0536686
[0:00:11.600000],27.0138,1.26022,36.4929,0.924346,0.21844,0.0832558,0.301962,0.31722,-0.478583,0.099834,-0.110658,0.0293756,-0.0296147,-0.121807,0.0341475,-0.0504989
[0:00:11.700000],26.7132,0.655568,37.1039,0.922945,0.217214,0.0787505,0.308274,0.323087,-0.469893,0.109024,-0.0938304,0.0415471,-0.0243347,-0.11812,0.0351226,-0.0470511
[0:00:11.800000],26.3727,0.16502,37.601,0.921939,0.215478,0.0748197,0.313439,0.31007,-0.482974,0.102653,-0.107742,0.0388236,-0.0210576,-0.116753,0.0356103,-0.0436258
[0:00:11.900000],26.0475,-0.404684,38.2226,0.920461,0.214041,0.0705065,0.319705,0.279985,-0.474943,0.0982726,-0.102243,0.0149461,-0.0372851,-0.114841,0.0328873,-0.0427903
[0:00:12],25.6445,-0.792318,38.9088,0.91901,0.211479,0.0675318,0.326163,0.271267,-0.473465,0.0927072,-0.100373,-0.0176582,-0.0214064,-0.112934,0.0262267,-0.0399724
[0:00:12.100000],25.3149,-1.16455,39.5537,0.917497,0.209523,0.0647836,0.332186,0.274903,-0.459985,0.0970474,-0.0961119,-0.00449116,-0.0194114,-0.110717,0.0221788,-0.037263
[0:00:12.200000],24.9433,-1.51435,40.2062,0.916005,0.207199,0.0620801,0.338222,0.260377,-0.481643,0.0868564,-0.0580418,0.0085746,-0.0113919,-0.103776,0.0203861,-0.0338538
[0:00:12.300000],24.4874,-1.99442,40.7946,0.914704,0.204652,0.0579369,0.343979,0.264636,-0.478765,0.0899894,-0.0591745,0.0163375,-0.0174266,-0.0978988,0.0198526,-0.0316892
[0:00:12.400000],24.2142,-2.34054,41.521,0.912713,0.203141,0.055634,0.350482,0.250116,-0.472499,0.0972058,-0.0589138,0.035512,-0.0244216,-0.0927615,0.0219161,-0.0307315
[0:00:12.500000],23.8133,-2.68627,42.239,0.910919,0.200653,0.0529013,0.356947,0.230172,-0.461977,0.0842885,-0.0667161,0.0364722,-0.0223048,-0.0893294,0.0238343,-0.0296211
[0:00:12.600000],23.4739,-2.97724,42.8775,0.90926,0.198558,0.0506281,0.362632,0.248293,-0.45902,0.0795825,-0.0588778,0.0513624,-0.00931747,-0.0853167,0.0274618,-0.0269456
[0:00:12.700000],23.111,-3.28163,43.4225,0.907886,0.19639,0.0479875,0.367581,0.228217,-0.455049,0.0817437,-0.0735085,0.0148456,-0.0235002,-0.0837607,0.0257993,-0.0264916
[0:00:12.800000],22.7283,-3.54645,44.12,0.906048,0.193907,0.0458322,0.373658,0.235017,-0.460215,0.0819033,-0.0508997,0.0215019,-0.0232112,-0.0794304,0.025233,-0.0260593
[0:00:12.900000],22.4299,-3.91945,44.7728,0.904069,0.192485,0.0429911,0.379479,0.208501,-0.459648,0.0846329,-0.0668053,0.0513042,-0.0102303,-0.0777668,0.0286685,-0.0239734
[0:00:13],22.247,-4.21685,45.4972,0.901682,0.191737,0.0412382,0.385682,0.212845,-0.444659,0.078819,-0.0869449,0.0505331,-0.00974942,-0.0789762,0.0315497,-0.0220991
[0:00:13.100000],21.969,-4.47791,46.1154,0.899802,0.19019,0.0392621,0.391007,0.202565,-0.450546,0.0674926,-0.0535541,0.0375152,-0.0146519,-0.0756262,0.0323358,-0.0211177
[0:00:13.200000],21.6858,-4.6904,46.7091,0.898026,0.188474,0.037593,0.396052,0.21016,-0.427368,0.0753973,-0.0438217,0.0421365,-0.01449,-0.0714352,0.0336273,-0.0202444
[0:00:13.300000],21.4739,-4.93451,47.3646,0.895853,0.187424,0.0360071,0.40158,0.184979,-0.431622,0.0802333,-0.033539,0.00547655,-0.00637641,-0.0664415,0.0299177,-0.0184169
[0:00:13.400000],21.1765,-5.16698,48.1152,0.893455,0.185663,0.0343507,0.407838,0.187956,-0.451761,0.0764277,-0.0471804,-0.00189315,-0.00651451,-0.0639033,0.0257259,-0.0168485
[0:00:13.500000],20.9404,-5.35917,48.7906,0.891222,0.184288,0.033087,0.413414,0.19603,-0.43598,0.0674282,-0.046086,0.00809189,-0.0117614,-0.0615555,0.0234022,-0.0161781
[0:00:13.600000],20.7226,-5.67096,49.4405,0.888891,0.183504,0.0308981,0.418915,0.183106,-0.425666,0.0702332,-0.0588977,0.0235257,-0.0119704,-0.0612052,0.0234184,-0.0156237
