time,roll,pitch,yaw,qw,qx,qy,qz,linear_accel_x,linear_accel_y,linear_accel_z
[0:04:33.600000],-5.13562,33.1483,149.686,-0.238124,0.286239,-0.033079,-0.927639,0.298517,0.162475,0.158852
[0:04:33.700000],-4.8979,33.1473,150.518,-0.231975,0.285984,-0.0329246,-0.92928,0.302043,0.16933,0.159638
[0:04:33.800000],-4.49112,33.196,151.505,-0.224932,0.285854,-0.0338694,-0.931016,0.29189,0.167092,0.156074
[0:04:33.900000],-4.07964,33.2262,152.568,-0.217281,0.285622,-0.0346269,-0.932875,0.284275,0.177252,0.165862
[0:04:34],-3.66361,33.1384,153.465,-0.211078,0.284408,-0.0356054,-0.934631,0.302218,0.155681,0.167851
[0:04:34.100000],-3.28213,33.1008,154.324,-0.205045,0.28368,-0.0365165,-0.936159,0.31479,0.15032,0.156291
[0:04:34.200000],-2.81241,33.0717,155.269,-0.198494,0.282924,-0.0379626,-0.937741,0.308628,0.15617,0.168344
[0:04:34.300000],-2.41319,32.9965,156.221,-0.191737,0.281948,-0.0387498,-0.939407,0.294221,0.157753,0.153447
[0:04:34.400000],-1.95293,32.8261,157.242,-0.184595,0.280148,-0.0397251,-0.941333,0.315773,0.144361,0.155604
[0:04:34.500000],-1.67553,32.6673,158.059,-0.178647,0.278689,-0.0397483,-0.942912,0.317836,0.142413,0.162889
[0:04:34.600000],-1.37326,32.5857,158.898,-0.172512,0.277848,-0.0400672,-0.944288,0.307238,0.129325,0.150407
[0:04:34.700000],-1.00632,32.3543,159.756,-0.166447,0.275702,-0.0406683,-0.945978,0.325681,0.149053,0.157528
[0:04:34.800000],-0.543682,32.2206,160.656,-0.160176,0.274265,-0.0421321,-0.947413,0.328103,0.149324,0.159791
[0:04:34.900000],-0.163353,32.057,161.625,-0.153133,0.27275,-0.042739,-0.948987,0.307129,0.131567,0.143161
[0:04:35],0.0737499,31.9732,162.491,-0.146555,0.272069,-0.0425361,-0.950229,0.319745,0.118476,0.146595
[0:04:35.100000],0.340306,31.7812,163.309,-0.140462,0.270445,-0.0425719,-0.95161,0.319951,0.118669,0.141361
[0:04:35.200000],0.631068,31.6899,164.221,-0.133593,0.269679,-0.0427298,-0.952809,0.320487,0.136074,0.150813
[0:04:35.300000],1.06422,31.6207,165.075,-0.127522,0.268934,-0.0442483,-0.953781,0.33008,0.135917,0.151252
[0:04:35.400000],1.43378,31.5547,165.951,-0.121103,0.268325,-0.045202,-0.954744,0.324399,0.108194,0.145947
[0:04:35.500000],1.74574,31.4002,166.718,-0.115462,0.26702,-0.0458607,-0.955777,0.343157,0.109921,0.144181
[0:04:35.600000],2.10085,31.2407,167.602,-0.108927,0.265697,-0.0466245,-0.956876,0.325947,0.099637,0.154021
[0:04:35.700000],2.47225,31.0885,168.53,-0.102037,0.264464,-0.047452,-0.957935,0.34821,0.117172,0.14292
